Index,Class,Environment / biome,Climate category,Nearby,Appearance / motifs,Main color (s) (ground),Secondary colors,Extra Pieces
0,None,n/a,,,n/a,,,
1,Normal,Grasslands?,Temperate,"Knight, Bishop, Rook",Normal pieces,? (green grass?),,"Guard, Amazon, Prince, Princess, Squirrel"
2,Knight,Hilly,Temperate,Bishop,Horses,Lighter green,,"Pegasus, Triknight, TrojanHorse, Shielder, EliteMilitia, Militia, ChargeKnight, ChargePawn, RoseKnight"
3,Bishop,Rocky plateau,Rocky,"Rook, Knight",Bishop ish,Light reddish,,"Pontiff, Tribishop, Courtesan, Lobster, Monk, Arch, CornerlessBishop, Harlequin, Augur, Yeoman"
4,Rook,Rocky valley,Rocky,,Rook ish (rocky / machinery),Gray,,"Stronghold, Birook, Marshall, Shrimp, EdgeRook, Bastion, Bunker, Capricorn"
5,Amazons,Mountain forest?,Forest,"Ultimate, Gliders, Birds",?,Darker green,,"Leafling, Squirrel, Queen, Turret, RoyalGuard, RoyalCastle, RoyalRecruit, CenterQueen, Suprema, Empress, GhoulAmazon"
6,Ultimate,Large growing structures,Icy,Divine,Capes,Bright neon ish green,,"ArcanaWorld, Paladin, Amazon, ElephantQueen, MegaCannon, Dragon, MountainTurtle, OceanSerpent, TorchSpirit"
7,Divine,Cloudy floating islands,Icy,"Ultimate, Icy",Divine glow + robes?,Blueish white,,"Empress, Suprema, RollerQueen, HoneybeeQueen, SlothQueen, GliderQueen, RelayQueen"
8,Armored,Metal + limestone?,Rocky,Fire,Invertibrates,Orangeish gray?,,"Scorpio, Cancer, ShieldSpirit, Rook, Vestal, Torcher, ElephantBulwark, SteelPuppet, SteelGolem"
9,Explosive,Crater filled wasteland,Rocky,Fire,Bombs,Dark reddish gray?,,"IceBomb, PoisonBomb, ArcanaMagician, SwitchTower, HoneyBomb, SoulCannon, VolcanoTower, MegaCannon, Cannon"
10,Relay,Vine connected plants?,Islands,Electro,2-3 antennae?,Yellow + green,,"ArcanaWorld, ArcanaSun, Charity, Kindness, Envy, SwitchPaladin, Paladin"
11,Swift,Flat lands,Islands,"Quick, Rollers",Speed lines (different design for the anti range movers),White + blue,,"QuickHog, Fan, AirWisp, AirElemental, Roller, SwitchTower, SkipQueen, SkipRook, SkipBishop, RollerQueen, BounceBishop, GlassSpirit"
12,Boat,Islands,Islands,Amoebas,Boat things,Blue + sandy yellow,,"WaterWisp, WaterElemental, Smuggler, BottleSpirit, Pisces, Carrier, Cardinal, Crab, Watchtower, PufferfishQueen, PufferfishPawn, SplashMage, WaveEgg"
13,Push,Rocky land with big boulders and big trees?,Swamp,SlowMovers,Bulldozer ish plates on the bottom thing,Dark cyan + dark blue,,"ArcanaPriestess, ArcanaEmperor, Archbishop, Aries, SwitchKnight, SkipGuard, SkipPawn"
14,Sticky,Honey ish,Swamp,Honeybees,Sticky bottom (has strands to make it look more sticky),Honey gold + orange,,"Honeybee, HoneybeeLieutenant, FrontBishop, WaxQueen, WarpMage"
15,Fire,Charred fire trees,Desert,Elemental,Fire things (torches and such),Black coal + orange red,,"FireWisp, FireElemental, Outlaw, Scorpio, TorchSpirit, ArcanaTemperance, Sagittarius, LavaGolem, SummerQueen, SummerRook, SummerPawn, FlameEgg"
16,Enchanter,Spirally plants?,Forest,"Teleporters, Troupe",Mage robes?,Dark purple,,"Jester, Harlequin, Dancer, ArcanaFool, Robber, Enforcer, Banshee, Sloth, Watchtower"
17,DeadlySins,Rocky fiery wasteland,Rocky,"Ultimate, Fire, Warlike",Demonic horns?,Dark red,,"ArcanaDevil, ArcanaDeath, Robber, HornSpirit, PiercingCharge, MiniBomb, LavaGolem, SoulDevourer"
18,HeavenlyVirtues,Cloudy normal land,Icy,"Ultimate, Divine",Halos?,Light blue,,"ArcanaLovers, ArcanaHermit, ArcanaJustice, ArcanaJudgement, Virgo, Bishop, Priest, Traverser, LightElemental, WaterElemental"
19,TarotMajor,Foggy land?,Temperate,"Zodiac, Elemental",(Platform has the tarot number?),Yellow + blue/purple??,,"AirWisp, FireWisp, WaterWisp, EarthWisp, Brook, Imitator, Virgo, Libra, TorchSpirit, CapSpirit"
20,TarotMinor,n/a (?),Temperate,,(Card-like design?),?,,"AirWisp, FireWisp, WaterWisp, EarthWisp, AirElemental, FireElemental, WaterElemental, EarthElemental"
21,Planets,Starry purple land? (Big hills for observatories?),Icy,Zodiac,Spherical bodies?,Purple + black + white highlights?,,"IceElemental, EarthElemental, Bomb, Magnet, ElectroPawn, IceGolem, ArcanaFortune, CapSpirit, TorchSpirit"
22,Zodiac,Blueish cyan land?,Icy,Planets,Special platform with the number?,Cyan blue + black + white highlights?,,"Pusher, Boat, Shrimp, ArcanaMoon, ArcanaStar, ArcanaSun, SwiftBishop, Venus, VolcanoTower"
23,Elemental,4 elemental areas,Rocky,"Fire, GreatBeasts, Electro, Icy",Elemental beings,Orange + blue,,"AceOfWands, AceOfSwords, AceOfPentacles, AceOfCups, Aquarius, ClockworkLeaper, ClockworkWalker, FlameObelisk"
24,Birds,Tall cliffs and trees,Rocky,Gliders,Birds,Orange + white,,"AirElemental, AirWisp, Neptune, FeatherSpirit, ArcanaPriestess, Airship, Bat, Harpy, Hummingbird, FloatMage, GliderQueen, FlameEgg"
25,Switchers,Black and white land,Forest,,Some black and white stripes on the body (not a lot so it is clear it is a white vs black piece),Black + white,,"ClockworkTowerB,ClockworkTowerR, RelayRook, SwiftRook, WarRook, ElephantCrusher"
26,Warlike,Spiky rockland,Rocky,Rook,Spiky collar thing,Red,,"Wrath, Imp, HornSpirit, Dragoon, RelayQueen, SwiftQueen, Mars, ChargeBeast, SoulDevourer, ArcanaJudgement"
27,Hoppers,Froggy swamp? (maybe they can be reskinned to frog ish things?),Swamp,,Froggish / amphibians?,Lime,,"Rabbit, RabbitDiplomat, RabbitKnight, Cataphract, RelayKnight, SwitchFrog, Capybara, Traverser"
28,Undead,Dead swamp?,Swamp,"Monster, SoulMages",Rotting / exposed bones,Dark green + black,,"Hag, Lich, Leech, SoulDevourer, PoisonMage, Repulser, Vulture, QueenLeech, Ghoul, GhoulMarshall, Phantom"
29,Monster,Swamp,Swamp,"ForcedMovers, Statue",Toxic sludge / disease,Dark green + purple + black,,"BigSlime, Statue, Gargoyle, Hopper, KingHopper, Checker, PoisonElemental, PoisonFrog, Repulser, WaveEgg"
30,Lycanthropes,Dark forest,Forest,Rabbit,Crazy fur and beastial fangs,Dark green + orange,,"RabbitKnight, RabbitCourier, RabbitQueen, Moon, Repulser, Rabbit, SoulDevourer, HornSpirit"
31,Rabbit,Fluffy cotton plant fields?,Temperate,"Lycanthropes, Amoebas",Rabbit,White + green,,"Werefox, ArcanaDevil, RingSpirit, FlowerPawn, SpringKnight, Honeybee, Lust, FeatherSpirit"
32,Giant,Savanna,Savanna,"GreatBeasts, SlowMovers",Elephants,Yellowish green,,"SlothQueen, ArcanaStrength, Leo, Knight, Werebear, FlatQueen, FlatRook, KangarooQueen"
33,Dark,Dark grasslands + city?,Swamp,"Criminals, Undead",Hoods and trenchcoats / other mafia stuff,Black + gray,,"Robber, Enforcer, Smuggler, Mercenary, Outlaw, Submarine, Tunnel, Greed, VoidElemental, VoidWisp, ShadowQueen, TailPawn, GhoulPawn, FallPawn, FallKnight"
34,Royalist,Big gilded cities,Savanna,"Enchanter, Troupe, Teleporters",Special ring thing instead of normal,Gold + orange,,"Attractor, Hypnotist, Jester, Bunker, Peasant, Inquisitor, Guard, Charmer, Greed, RabbitDiplomat, Prince, Princess"
35,Mirror,Glass + metal,Desert,"Armored, ObjectSpirit, Glass",,Grayish blue,,"GlassBishop, GlassSpirit, RelayBishop, StickyBishop, AceOfSwords, PageOfSwords, QueenOfSwords, LightElemental, LightWisp, Mirrorer"
36,Electro,Electrical trees and wires + crack ground,Savanna,Clockwork,Lightning bolt (or other circles with symbols inside),Yellow,,"ClockworkSnapper, BladeBeast, PushBishop, Jupiter, SwitchSquire, ShieldSpirit, Duelist, Fencer, FlankingBishop, MetalFox, Roller, ReboundRook"
37,ObjectSpirit,n/a (forge lands?),Rocky,"Armored, Clockwork, Mirror",Objects with eyes,Orange + gray,,"BladeBeast, Shrimp"
